"id","filename","path","size","type","isMalicious","original_hash","rebuild_hash","date_created","virus_total_status","gw_rebuild_xml_status","gw_rebuild_file_status"
91,"thumbnail_internal_audit_quality_assessment_frameworkpdf.png","png/d79adf1814e957752f92bd653f642c3a48982d90","6990 bytes","png",False,"d79adf1814e957752f92bd653f642c3a48982d90","8a5ea5b2aa1f5944fff3eeed06de05e832b97c03","2020-10-25 12:34:53.467544",False,True,True
92,"internal_audit_quality_assessment_framework_word_file.doc","doc/582640b52c6baab668fc4fdab815da261a32039d","390656 bytes","doc",False,"582640b52c6baab668fc4fdab815da261a32039d","f4f03bfdb2143096f162031d28b55d888f2acd6a","2020-10-25 12:34:54.918813",False,True,True
93,"eqa_specification.pdf","pdf/ae59f3bf05ae9c465338acc35084f919118c0844","132728 bytes","pdf",False,"ae59f3bf05ae9c465338acc35084f919118c0844","b8fc22d1a691e20e3a97bcf8c166c4b62809f5b8","2020-10-25 12:34:56.329358",False,True,True
94,"thumbnail_eqa_specificationpdf.png","png/3ea7a54279684749870e0643976dae59da00d26e","36689 bytes","png",False,"3ea7a54279684749870e0643976dae59da00d26e","a4ab8215d7e5c87b8238213f04f07f3d6d17e295","2020-10-25 12:34:57.46666",False,True,True
95,"eqa_specification.docx","docx/2fbead3a1dd54a0a110b62a12ad93d9d6a2a8006","55496 bytes","docx",False,"2fbead3a1dd54a0a110b62a12ad93d9d6a2a8006","41f0a4c8cba75a45a05c46234ada8922b4b0ddd1","2020-10-25 12:34:59.056769",False,True,True
96,"Surveillance_Camera_Code_of_Practice_WEB.pdf","pdf/c8cfc1bf37254fc0a9b86097731303bee9fc4354","409008 bytes","pdf",False,"c8cfc1bf37254fc0a9b86097731303bee9fc4354","37fddc1cca442356a944ea29944216ee29aa572d","2020-10-25 12:35:00.7048",False,True,True
97,"summary-of-responses.pdf","pdf/57fb0e1c091e5886612efac885f2783c25ffcbdf","119744 bytes","pdf",False,"57fb0e1c091e5886612efac885f2783c25ffcbdf","b0b4eb2f17b38b086b5180d7e893287f97702823","2020-10-25 12:35:02.326146",False,True,True
98,"thumbnail_summary-of-responsespdf.png","png/72e4bad8ca93015a76038fbb6ddde0468ae876e8","11127 bytes","png",False,"72e4bad8ca93015a76038fbb6ddde0468ae876e8","8e48e3e9eb7b738c90521a2bd1e8b429593c1c93","2020-10-25 12:35:03.520501",False,True,True
99,"Public_Bodies_Reform___a_Guide_for_Internal_Auditors.pdf","pdf/ac416e743c5eca578f0d7e0f47498ea8dfdef633","182465 bytes","pdf",False,"ac416e743c5eca578f0d7e0f47498ea8dfdef633","406a067539907c8880ad68bb2dcf66b63103eda0","2020-10-25 12:35:05.188561",False,True,True
100,"thumbnail_Public_Bodies_Reform___a_Guide_for_Internal_Auditorspdf.png","png/78158eab6adf3bc0654db38c9aa95223b1212526","9118 bytes","png",False,"78158eab6adf3bc0654db38c9aa95223b1212526","d8a20bb4b00e2b7ce324d14d8ca3e07662eca5a2","2020-10-25 12:35:06.445994",False,True,True
101,"Internal_Audit_Records_Management.pdf","pdf/295d0334337aa3ca543e6ddc7efe51bc52b6c7fb","242791 bytes","pdf",False,"295d0334337aa3ca543e6ddc7efe51bc52b6c7fb","71beb05e1297ec6c2dbf53974f493f62e5260e00","2020-10-25 12:35:08.23639",False,True,True
102,"thumbnail_Internal_Audit_Records_Managementpdf.png","png/3181c224988c6aee9883ca026a24c516a751df1e","7568 bytes","png",False,"3181c224988c6aee9883ca026a24c516a751df1e","7f855c859736c98b1f5a34054880367b3befa015","2020-10-25 12:35:09.550104",False,True,True
103,"The_internal_audit_role_in_information_assurance.pdf","pdf/a7482918f87b760be6cb3a1fdd032a9c5f932d9f","336942 bytes","pdf",False,"a7482918f87b760be6cb3a1fdd032a9c5f932d9f","36149b7af0a64c4bbbb9ec813ee566bff4f7d0d5","2020-10-25 12:35:11.338091",False,True,True
104,"thumbnail_The_internal_audit_role_in_information_assurancepdf.png","png/2aec26583d3a6e9ef6a2ac8d0e5f9d12188fe7ba","9872 bytes","png",False,"2aec26583d3a6e9ef6a2ac8d0e5f9d12188fe7ba","3515c10cb0978ec210a8b3d66e91671823cb7ea4","2020-10-25 12:35:12.55551",False,True,True
105,"Fraud_and_the_Government_Internal_Auditor.pdf","pdf/311e11c599fab6b2ed2bbfda0d8550e39c82a9b5","206019 bytes","pdf",False,"311e11c599fab6b2ed2bbfda0d8550e39c82a9b5","bd69f6442f65d2dba412805072c8e472a38486a3","2020-10-25 12:35:14.169169",False,True,True
106,"thumbnail_Fraud_and_the_Government_Internal_Auditorpdf.png","png/ad4dc7c9343cfb19e7c62ad0d0bf27bb952476df","8440 bytes","png",False,"ad4dc7c9343cfb19e7c62ad0d0bf27bb952476df","dbecaf9744edd797fa4c16cd754952d925663e9f","2020-10-25 12:35:15.31855",False,True,True
107,"Good_practice_guidance_audit_strategy.pdf","pdf/3c1c655a0736a8f890657d04aed1e4bab647747d","665806 bytes","pdf",False,"3c1c655a0736a8f890657d04aed1e4bab647747d","23c25d20d16c33c499d265c9f3ad327752fd6f6b","2020-10-25 12:35:17.023295",False,True,True
108,"thumbnail_Good_practice_guidance_audit_strategypdf.png","png/dcaa19a7fb818edf824e9767dacd5ec11ffbe73b","7529 bytes","png",False,"dcaa19a7fb818edf824e9767dacd5ec11ffbe73b","2ba0688787c2f99a84d43816253a7d8ef34f2468","2020-10-25 12:35:18.337309",False,True,True
109,"Good_practice_guidance_-_the_consultancy_role_of_internal_audit.pdf","pdf/6d3957bdc82b2418ac7f66bd3f7858a9881ec231","637660 bytes","pdf",False,"6d3957bdc82b2418ac7f66bd3f7858a9881ec231","e177562ff867ac3079c32d589496bd47c8f3b300","2020-10-25 12:35:19.914397",False,True,True
110,"thumbnail_Good_practice_guidance_-_the_consultancy_role_of_internal_auditpdf.png","png/b894755840257669518414f846ee9b21df31ccbe","9453 bytes","png",False,"b894755840257669518414f846ee9b21df31ccbe","d01321c074b1bc74f5395f1746cb9d8f2b184fb2","2020-10-25 12:35:21.15692",False,True,True
111,"Good_practice_guidance_reporting.pdf","pdf/d68131a21ba8e8a5101d09c10b08a886c8f60847","643942 bytes","pdf",False,"d68131a21ba8e8a5101d09c10b08a886c8f60847","10bf4b211339433af1d2956fd8fc4b849b4c8a8e","2020-10-25 12:35:22.846315",False,True,True
112,"thumbnail_Good_practice_guidance_reportingpdf.png","png/802d5cb21c419dcf9e1d756066873dbc28db30b3","7746 bytes","png",False,"802d5cb21c419dcf9e1d756066873dbc28db30b3","e3e16ea05c836963c3e08af96d93753d6b916629","2020-10-25 12:35:24.16082",False,True,True
113,"Delivering_audit_assignments_-_a_risk_based_approach.pdf","pdf/ec43c9d8c43ac2c54fc6be9080d7c376195c775b","206364 bytes","pdf",False,"ec43c9d8c43ac2c54fc6be9080d7c376195c775b","47dca5d3ed7be3b574b0ab9db44f7a8701c02828","2020-10-25 12:35:25.690358",False,True,True
114,"thumbnail_Delivering_audit_assignments_-_a_risk_based_approachpdf.png","png/7e4338a48b4d062d74d017fca9b7cbfac78583fa","11131 bytes","png",False,"7e4338a48b4d062d74d017fca9b7cbfac78583fa","00204dcd0f58343cfa8ac08db5677e860423abae","2020-10-25 12:35:26.86433",False,True,True
115,"Good_practice_guidance_-_co-operation_between_internal_and_external_auditors.pdf","pdf/280d92187e17733d0bab59ff19cacffcbe371e9b","88297 bytes","pdf",False,"280d92187e17733d0bab59ff19cacffcbe371e9b","d27278c31b23117e179991ad8a57868da5cf1d4e","2020-10-25 12:35:28.199823",False,True,True
116,"thumbnail_Good_practice_guidance_-_co-operation_between_internal_and_external_auditorspdf.png","png/88107cedd98df9f647d9f2881bda5a933b589a6f","20392 bytes","png",False,"88107cedd98df9f647d9f2881bda5a933b589a6f","1604f9687007604019a02ba8b3243dc2df422d2c","2020-10-25 12:35:29.381937",False,True,True
117,"the_Internal_Audit_Quality_Assessment_Framework.pdf","pdf/ac61793f53ee8be689c75cdd67b6b484a1da3977","354439 bytes","pdf",False,"ac61793f53ee8be689c75cdd67b6b484a1da3977","b5862791836ac47844125ac6ffa13f44ab3b6e61","2020-10-25 12:35:31.699813",False,True,True
118,"thumbnail_the_Internal_Audit_Quality_Assessment_Frameworkpdf.png","png/3b0eefcbfd9cbe24dbf76044f1778de204079cdc","8785 bytes","png",False,"3b0eefcbfd9cbe24dbf76044f1778de204079cdc","a12fc1e89b2533e0abd1c3f7b15cedfb26405038","2020-10-25 12:35:32.942364",False,True,True
